name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,UHR_1,UHR_2,UHR_3,HBR_1,HBR_2,HBR_3
ENST00000416372.5,45.2,6.3,84,13.196,3.7,1.28,2.91,3.6e-03,1.0e+00,0.0328,5,9.6,0,9.4,83.1,79.7,89.2
ENST00000479606.5,4.4,0,8.9,58.62,5.9,2.02,2.9,3.7e-03,1.0e+00,0.0331,5,0,0,0,3.8,12.6,10.3
ENST00000399875.1,18.8,5.1,32.5,6.335,2.7,0.92,2.9,3.7e-03,1.0e+00,0.0331,5,6.2,5.8,3.4,20.1,44.1,33.2
ENST00000406902.5,19,0,37.9,249.513,8,2.75,2.9,3.7e-03,1.0e+00,0.0331,5,0,0,0,42.8,0,70.9
ENST00000498418.5,5,0,10,65.891,6,2.08,2.9,3.7e-03,1.0e+00,0.0331,5,0,0,0,2.5,12.6,14.9
ENST00000216014.8,34.1,65.6,2.5,0.038,-4.7,1.63,-2.9,3.8e-03,1.0e+00,0.0331,5,58.8,72.5,65.5,7.6,0,0
ENST00000482294.1,13.1,3.4,22.9,6.878,2.8,0.96,2.89,3.8e-03,1.0e+00,0.0334,5,2.1,2.9,5.1,22.7,22,24
ENST00000418705.2,14.3,26.5,2,0.074,-3.7,1.3,-2.89,3.8e-03,1.0e+00,0.0334,5,21.2,19.3,39.1,3.8,0,2.3
ENST00000302097.3,4.7,9.4,0,0.022,-5.5,1.9,-2.89,3.9e-03,1.0e+00,0.0335,5,7.5,10.6,10.2,0,0,0
ENST00000450651.5,4.8,9.5,0,0.022,-5.5,1.91,-2.88,4.0e-03,1.0e+00,0.0343,5,11.6,6.8,10.2,0,0,0
ENST00000402876.3,4.8,9.6,0,0.022,-5.5,1.92,-2.86,4.2e-03,1.0e+00,0.0356,5,6.2,10.6,11.9,0,0,0
ENST00000413817.7,45.6,15.7,75.4,4.797,2.3,0.79,2.86,4.2e-03,1.0e+00,0.0359,5,18.5,19.3,9.4,66.7,95.4,64
ENST00000360929.7,110.1,5.1,215.1,42.185,5.4,1.89,2.86,4.3e-03,1.0e+00,0.0361,5,0,0,15.3,319.9,182.5,142.9
ENST00000391627.6,24.6,49.1,0,0.004,-7.9,2.77,-2.84,4.5e-03,1.0e+00,0.0372,6,54.7,0,92.7,0,0,0
ENST00000402697.5,25.2,50.5,0,0.004,-7.9,2.78,-2.84,4.5e-03,1.0e+00,0.0375,6,108.1,0,43.4,0,0,0
ENST00000398743.6,27.5,54.9,0,0.004,-8,2.83,-2.83,4.6e-03,1.0e+00,0.0378,6,0,118.9,45.9,0,0,0
ENST00000405506.2,23.7,47.4,0,0.004,-7.8,2.76,-2.83,4.6e-03,1.0e+00,0.0379,6,58.1,0,84.2,0,0,0
ENST00000401609.5,905.1,1383.9,426.4,0.308,-1.7,0.6,-2.82,4.9e-03,1.0e+00,0.0395,6,1391.3,1240.6,1519.7,442,404.9,432.2
ENST00000603308.1,6,11.7,0.3,0.035,-4.8,1.72,-2.81,4.9e-03,1.0e+00,0.0396,6,10.3,8.7,16.2,0,1,0
ENST00000543133.5,16.4,0,32.8,215.854,7.8,2.76,2.81,5.0e-03,1.0e+00,0.0397,6,0,0,0,0,76.6,21.7
ENST00000331075.9,31.7,2.3,61.2,27.055,4.8,1.7,2.8,5.0e-03,1.0e+00,0.0402,6,0,0,6.8,63,71.3,49.2
ENST00000216181.9,1100,1675.5,524.4,0.313,-1.7,0.6,-2.8,5.2e-03,1.0e+00,0.0409,6,1775.7,1507.4,1743.4,540.2,502.4,530.5
ENST00000330651.10,47.9,19.3,76.5,3.986,2,0.72,2.78,5.5e-03,1.0e+00,0.0433,7,14.4,21.3,22.1,69.3,86,74.3
ENST00000617531.4,13.8,0,27.5,181.444,7.5,2.71,2.77,5.6e-03,1.0e+00,0.0439,7,0,0,0,0,34.6,48
